BugID,Module,Severity,CreatedDate,ResolvedDate,Release
Reporting_BUG_001,Reporting,Critical,2024-12-30,2025-01-02,Release_2
User Profile_BUG_002,User Profile,Medium,2024-04-03,2024-04-15,Release_4
Notifications_BUG_003,Notifications,Medium,2024-04-03,2024-04-17,Release_2
Settings_BUG_004,Settings,Critical,2024-04-01,2024-04-03,Release_3
Product Catalog_BUG_005,Product Catalog,High,2024-01-09,2024-01-10,Release_5
Reporting_BUG_006,Reporting,Critical,2024-07-06,2024-07-21,Release_5
Settings_BUG_007,Settings,Critical,2024-09-29,2024-10-12,Release_3
Notifications_BUG_008,Notifications,Low,2024-04-09,2024-04-12,Release_4
Checkout_BUG_009,Checkout,Medium,2024-12-26,2025-01-04,Release_4
Search_BUG_010,Search,Medium,2024-01-09,2024-01-17,Release_4
Authentication_BUG_011,Authentication,Low,2024-04-06,2024-04-16,Release_1
Reporting_BUG_012,Reporting,Medium,2024-07-01,2024-07-10,Release_5
Notifications_BUG_013,Notifications,Low,2024-12-31,2025-01-06,Release_4
Checkout_BUG_014,Checkout,High,2024-10-02,2024-10-08,Release_2
Notifications_BUG_015,Notifications,Critical,2024-04-09,2024-04-12,Release_4
User Profile_BUG_016,User Profile,Medium,2024-07-02,2024-07-11,Release_1
Checkout_BUG_017,Checkout,High,2024-04-02,2024-04-10,Release_2
Search_BUG_018,Search,High,2024-09-29,2024-10-14,Release_4
Reviews_BUG_019,Reviews,Medium,2024-07-06,2024-07-11,Release_5
Settings_BUG_020,Settings,Low,2024-09-28,2024-10-10,Release_1
User Profile_BUG_021,User Profile,Medium,2024-10-07,2024-10-09,Release_3
Reporting_BUG_022,Reporting,Medium,2024-07-04,2024-07-13,Release_3
Notifications_BUG_023,Notifications,Medium,2024-01-07,2024-01-09,Release_3
Settings_BUG_024,Settings,High,2025-01-04,2025-01-15,Release_2
Search_BUG_025,Search,Medium,2024-07-04,2024-07-15,Release_3
Product Catalog_BUG_026,Product Catalog,Medium,2024-10-06,2024-10-11,Release_1
Search_BUG_027,Search,High,2024-07-05,2024-07-16,Release_2
Checkout_BUG_028,Checkout,Medium,2024-01-03,2024-01-09,Release_1
Reporting_BUG_029,Reporting,Medium,2024-07-08,2024-07-19,Release_3
Product Catalog_BUG_030,Product Catalog,Medium,2025-01-03,2025-01-11,Release_3
Search_BUG_031,Search,Medium,2024-04-03,2024-04-14,Release_1
Payments_BUG_032,Payments,Low,2024-04-06,2024-04-08,Release_2
Product Catalog_BUG_033,Product Catalog,Medium,2024-01-01,2024-01-14,Release_5
Payments_BUG_034,Payments,Low,2024-07-08,2024-07-11,Release_1
Checkout_BUG_035,Checkout,Medium,2024-04-03,2024-04-15,Release_3
Search_BUG_036,Search,Low,2024-12-28,2024-12-29,Release_2
Reporting_BUG_037,Reporting,Medium,2024-10-04,2024-10-18,Release_3
Notifications_BUG_038,Notifications,Medium,2024-09-29,2024-10-11,Release_5
Settings_BUG_039,Settings,High,2024-10-07,2024-10-19,Release_5
Settings_BUG_040,Settings,Medium,2025-01-05,2025-01-16,Release_4
Reporting_BUG_041,Reporting,Low,2024-12-29,2025-01-11,Release_4
Notifications_BUG_042,Notifications,Medium,2024-10-01,2024-10-04,Release_3
Authentication_BUG_043,Authentication,Medium,2024-04-05,2024-04-10,Release_5
Authentication_BUG_044,Authentication,High,2024-10-01,2024-10-02,Release_4
Notifications_BUG_045,Notifications,Medium,2024-03-31,2024-04-09,Release_5
Checkout_BUG_046,Checkout,Low,2024-10-03,2024-10-07,Release_5
Checkout_BUG_047,Checkout,Medium,2024-04-04,2024-04-06,Release_4
User Profile_BUG_048,User Profile,Medium,2025-01-05,2025-01-10,Release_5
Reviews_BUG_049,Reviews,Low,2024-09-30,2024-10-14,Release_3
Search_BUG_050,Search,High,2024-01-11,2024-01-19,Release_3
Notifications_BUG_051,Notifications,Low,2024-09-30,2024-10-06,Release_5
Authentication_BUG_052,Authentication,Medium,2024-01-03,2024-01-05,Release_5
Search_BUG_053,Search,Low,2024-01-04,2024-01-06,Release_4
Product Catalog_BUG_054,Product Catalog,High,2024-07-05,2024-07-10,Release_2
Product Catalog_BUG_055,Product Catalog,Low,2024-09-27,2024-10-03,Release_3
Search_BUG_056,Search,Medium,2024-07-05,2024-07-07,Release_1
Search_BUG_057,Search,Low,2024-07-05,2024-07-19,Release_2
User Profile_BUG_058,User Profile,Critical,2024-09-30,2024-10-12,Release_4
User Profile_BUG_059,User Profile,Critical,2024-01-09,2024-01-20,Release_4
